mouse,group,day,factor1,factor2,composite
6099_black,Active,10,-2.617107677690739,4.276752883354647,0.8298217226197797
6099_black,Active,11,-8.035982902058223,10.313054825952824,1.1385336191313629
6099_black,Active,12,-2.2066877867710213,4.272638097914723,1.032974328287708
6099_black,Active,13,-2.61117107817232,4.893960232577521,1.1413936189430167
6099_black,Active,14,-2.0237045385479187,4.241425204613945,1.1088595330975597
6099_black,Active,15,-0.30812019836522697,2.360070443503087,1.0259747818927782
6099_black,Active,16,0.9877201609343025,0.5333958349410521,0.7605580559460747
6099_black,Active,17,-4.644918589988601,7.489801733645984,1.4224400224604574
6099_black,Active,18,-5.983497758104006,8.578785513526249,1.2976420183902215
6099_orange,Active,3,-4.5749548711278,7.252024070845726,1.3385330897833296
6099_orange,Active,4,0.5272314358357826,0.943496568923017,0.7353639492304226
6099_orange,Active,5,-0.7064092546585093,3.1080718208915066,1.2008307960813096
6099_orange,Active,6,-7.014026897267565,11.186632176485684,2.0863003157381956
6099_orange,Active,7,4.361246701144799,-2.4296130656782053,0.9658176847942692
6099_orange,Active,8,-0.9838751796065386,3.4219734008007463,1.2190485480557633
6099_orange,Active,9,2.042077183108881,-0.4924025916862309,0.7748376193151947
6099_orange,Active,10,4.635037301280884,-2.950696057190845,0.84217159059592
6099_orange,Active,11,-0.987219617904482,3.154744264598765,1.0837617944987548
6099_orange,Active,12,-1.6274698947116635,4.3032445749381285,1.337886582876118
6099_orange,Active,13,0.36795863926891814,1.8431120316069858,1.1055351470894985
6099_orange,Active,14,1.585621190433048,0.8559863399299448,1.2208038583417036
6099_orange,Active,15,4.874298346965957,-3.0419092072075924,0.9161955806252227
6099_orange,Active,16,4.723510938598507,-2.445800788814987,1.1388559902737012
6099_orange,Active,17,1.2846441912539344,1.0567900390301297,1.1707171442345843
6099_orange,Active,18,2.618344904292822,-0.1465184273076321,1.2359135915119726
6099_red,Passive,3,-1.6269665573254954,3.89736440652974,1.135198219252293
6099_red,Passive,4,-1.1450515850638925,3.0671220783215993,0.9610347088160406
6099_red,Passive,5,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_red,Passive,11,6.422729870419573,-6.458019415882209,-0.01764312810966695
6099_red,Passive,12,3.3149183158321636,-2.1305132748090383,0.5922032157874737
6099_red,Passive,13,7.083709612380945,-6.798495779796715,0.1426086887802711
6099_red,Passive,14,2.840951265940951,-1.0920653855185507,0.8744434423810814
6099_red,Passive,15,-3.6639278038028458,7.672661484551979,2.004365392912173
6099_red,Passive,16,-3.7996658356569073,6.668806599319746,1.4345690452106963
6099_red,Passive,17,7.381153177070877,-7.240148936556357,0.07050398711372052
6099_red,Passive,18,7.9435236148735076,-8.09974056469133,-0.07810642649549715
6099_white,Passive,3,-3.6608655651619038,6.698753982034095,1.5189428857137737
6099_white,Passive,4,-1.8594962813021485,3.874035349073058,1.007268801824761
6099_white,Passive,5,2.450583962384541,-0.6360259927289479,0.9072793789279726
6099_white,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_white,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_white,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_white,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_white,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_white,Passive,11,2.6837133943612024,-0.3422376367834199,1.1707382651441
6099_white,Passive,12,3.1059959581633048,-0.8873590057298053,1.1093189860906623
6099_white,Passive,13,6.542371370782673,-5.55133492710217,0.4955197659717907
6100_black,Active,3,-7.126428284144952,10.91924530510068,1.8964062063956377
6100_black,Active,4,-1.209574502648461,3.442310451370729,1.1163673804057248
6100_black,Active,5,0.48138548289138905,0.9175072162185316,0.6994462938706807
6100_black,Active,6,-2.030387373453946,3.99012339562076,0.9798672423810477
6100_black,Active,7,-1.3292864644220554,2.5827168462695194,0.6267146914368464
6100_black,Active,8,-3.8503520154280824,5.876547928848915,1.0130967147741052
6100_black,Active,9,-2.4045210615591,4.292396769382881,0.9439369988454798
6100_black,Active,10,-1.4969227559655478,3.152370780729801,0.827723418757591
6100_black,Active,11,-1.1215529273855476,2.607626124485432,0.7430361224061657
6100_black,Active,12,-0.7672834788199714,1.973780550486267,0.6032481858524791
6100_black,Active,13,-3.3849239462808836,5.311341399125395,0.963207616077977
6100_black,Active,14,2.1979491060503,-1.1810077304965334,0.5084711192040813
6100_black,Active,15,4.7079018373398345,-4.454677137314242,0.12661351989627345
6100_black,Active,16,2.2751678536674125,-1.0248497166448982,0.6251594898594431
6100_black,Active,17,-1.4170455996365983,3.295733509267067,0.9393433530848235
6100_black,Active,18,-3.1057550887974688,5.262070901588048,1.0781568379863413
