mouse_key,day_index,pupil_reward_peak,n_rewards
0911_black,5,0.0689264544159987,17
0911_black,6,0.14998084801651831,41
0911_black,7,-0.05150312239450173,32
0911_black,8,0.4475772196357636,32
0911_black,9,0.6407096648814717,31
0911_black,10,0.20865308701352359,22
0911_black,11,-0.08086141486992557,21
0911_black,12,-0.6074249777913718,17
0911_black,13,-0.017944193295048597,13
0911_black,14,0.2616418753918893,32
0911_black,15,0.03823512208848257,28
0911_black,16,0.3958984290385191,33
0911_black,17,-0.17533794079132123,13
0911_black,18,0.6777709733299438,7
0911_orange,1,0.13505267658565775,369
0911_orange,3,0.07223046632158318,51
0911_orange,4,0.06418672374891188,36
0911_orange,5,0.30546828891783867,24
0911_orange,6,0.8954432838754749,28
0911_orange,7,0.22327810426007683,22
0911_orange,8,1.502898357095605,23
0911_orange,9,0.3820974032985753,31
0911_orange,10,0.22088737532811767,29
0911_orange,11,0.5707101753819804,18
0911_orange,12,0.6180647056064442,17
0911_orange,13,0.8371952277786765,18
0911_orange,14,0.34535849793931245,30
0911_orange,15,0.40516429954570443,28
0911_orange,16,0.0853317990950225,46
0911_orange,17,0.44800358370635573,18
0911_orange,18,0.5582899512234388,8
0911_red,1,0.0007075293097993744,374
0911_red,3,0.5869240664117599,30
0911_red,4,0.5645993705245341,20
0911_red,5,-0.18582304281621093,20
0911_red,6,0.6322791410586059,28
0911_red,7,0.4173980418100431,22
0911_red,8,0.9275270058549548,23
0911_red,9,-0.07528099288384543,31
0911_red,10,-0.030366144609396545,29
0911_red,11,0.2868598751714227,26
0911_red,12,-0.10197816634690153,34
0911_red,13,-0.1857270998025308,30
0911_red,14,-0.01659778793936414,32
0911_red,15,0.1788872525966995,21
0911_red,16,0.6483703279311637,23
0911_red,17,-0.1981408287878366,34
0911_red,18,-0.014892735864473587,29
0911_white,1,0.17735475364639833,447
0911_white,3,0.1822783870244312,47
0911_white,4,0.18503024559849182,43
0911_white,5,-0.3568748930392851,38
0911_white,6,0.24365086219838689,41
0911_white,7,0.030803079095262535,32
0911_white,8,0.1744491588728632,32
0911_white,9,0.5685850845479588,31
0911_white,10,0.16611477499943728,22
0911_white,11,0.20229105196387837,26
0911_white,12,-0.09298738460294562,33
0911_white,13,0.2568319986645841,28
0911_white,14,0.12808278015008379,31
0911_white,15,-0.11156206773986023,19
0911_white,16,0.8644282050959627,23
0911_white,17,-0.4097428389210599,29
0911_white,18,-0.006933696334213695,33
6099_black,1,-0.13786952290668733,396
6099_black,2,0.01330577722423228,195
6099_black,3,0.3959074311009185,39
6099_black,4,0.31894513431644084,24
6099_black,5,0.5817752674341395,19
6099_black,6,0.28037552816791816,35
6099_black,7,0.13890408323472547,26
6099_black,8,0.35658026884094074,31
6099_black,9,-0.09614964131724561,25
6099_black,10,0.3899790891271838,24
6099_black,11,-0.06390474163394219,34
6099_black,12,0.3393036566813947,26
6099_black,13,0.28672442325603786,28
6099_black,14,1.336459217452599,25
6099_black,15,0.017336796660556722,22
6099_black,16,0.15333555136242694,18
6099_black,17,0.21839251816810237,31
6099_black,18,0.18805548132795927,32
6099_orange,1,-0.007511002934929031,460
6099_orange,2,0.032506540337357566,286
6099_orange,3,0.08111870278253558,42
6099_orange,4,-0.4909006797008007,30
6099_orange,5,0.03896343207180058,35
6099_orange,6,0.30028657711604073,52
6099_orange,7,0.16741649592471405,27
6099_orange,8,-0.26456130823243834,36
6099_orange,9,0.4167826258806138,28
6099_orange,10,1.723215880842802,25
6099_orange,11,0.10923156159871496,35
6099_orange,12,0.7610757962431185,37
6099_orange,13,0.2621950953876033,33
6099_orange,14,0.9859509989190304,32
6099_orange,15,0.3824730334588956,25
6099_orange,16,0.528755126177913,27
6099_orange,17,0.05262975855319292,32
6099_orange,18,0.1612407164528574,31
6099_red,1,0.1627947493734305,342
6099_red,2,0.019405039666669188,355
6099_red,3,0.003632127098236848,37
6099_red,4,0.37449859597273427,35
6099_red,5,-0.3316374646762785,36
6099_red,6,0.1590841007238165,52
6099_red,7,-0.1039054232782711,27
6099_red,8,0.25003773504959914,36
6099_red,9,1.0806886135010678,28
6099_red,10,-0.19495580669531581,25
6099_red,11,0.4651880993484059,17
6099_red,12,0.9922815585003726,26
6099_red,13,-0.10386776074523382,17
6099_red,14,1.4441266921782159,29
6099_red,15,0.33975588343429197,46
6099_red,16,0.47452551138582694,43
6099_red,17,0.543483714915878,16
6099_red,18,0.6375140734783928,14
6099_white,1,0.05684719606458888,402
6099_white,2,0.12067298470331721,136
6099_white,3,0.20883486015269762,35
6099_white,4,0.13878905805273228,28
6099_white,5,0.3102749153504369,21
6099_white,6,-0.026575855090063834,35
6099_white,7,0.26920456497473916,26
6099_white,8,0.416511711856208,31
6099_white,9,0.21479464282182542,25
6099_white,10,0.4174121819455883,24
6099_white,11,0.7327133029418832,23
6099_white,12,0.7211604147933586,22
6099_white,13,0.5599260840840121,12
6100_black,1,0.09748894597736832,284
6100_black,2,0.1616613167456888,173
6100_black,3,0.4124701683651023,41
6100_black,4,-0.05254437726801935,27
6100_black,5,0.2504745255433553,21
6100_black,6,0.20049536271474994,27
6100_black,7,0.3035223162358768,24
6100_black,8,-0.028339396814729228,30
6100_black,9,0.08653411160857612,27
6100_black,10,0.07150930784714148,25
6100_black,11,-0.10718965235776305,25
6100_black,12,0.3735463457331446,22
6100_black,13,0.23085841541469637,29
6100_black,14,0.07127461817448695,17
6100_black,15,-0.04692850707710559,10
6100_black,16,0.6910530023824003,18
6100_black,17,-0.09459643332348718,26
6100_black,18,-0.08739978685061013,29
6100_orange,1,0.1779565113017628,575
6100_orange,2,0.07263944928370744,290
6100_orange,3,0.015884833555514854,39
6100_orange,4,0.4089983100526925,50
6100_orange,5,1.3074771527321185,20
6100_orange,6,0.7531595227155603,27
6100_orange,7,0.10415974182942755,24
