mouse_key,Group,Period,day_index,pupil_mean,pupil_baseline,pupil_pct,pupil_delta
0911_red,Active,Pre,3,21.4001330764436,20.5277536007634,4.249756172286457,0.8723794756801979
0911_red,Active,Pre,4,20.5277536007634,20.5277536007634,0.0,0.0
0911_red,Active,Pre,5,20.5103574527372,20.5277536007634,-0.08474452862467075,-0.01739614802620082
0911_red,Active,During,6,22.6489010115915,20.5277536007634,10.333071275510724,2.121147410828101
0911_red,Active,During,7,24.6298353901561,20.5277536007634,19.98310126462229,4.102081789392699
0911_red,Active,During,8,24.7880093041695,20.5277536007634,20.753638153800058,4.260255703406099
0911_red,Active,During,9,20.2292606955006,20.5277536007634,-1.4540943498644712,-0.29849290526280114
0911_red,Active,During,10,37.3867446436994,20.5277536007634,82.12779328327984,16.858991042936
0911_red,Active,Post,11,38.2393023937719,20.5277536007634,86.28098883820307,17.7115487930085
0911_red,Active,Post,12,30.3514442778605,20.5277536007634,47.85565370743621,9.823690677097101
0911_red,Active,Post,13,27.0576760565238,20.5277536007634,31.810214516202883,6.529922455760399
0911_red,Active,Withdrawal,14,25.3129614867564,20.5277536007634,23.31091837450272,4.785207885993
0911_red,Active,Withdrawal,15,24.9279422196341,20.5277536007634,21.435314864199572,4.4001886188707005
0911_red,Active,Withdrawal,16,21.506240237264,20.5277536007634,4.766652287097842,0.9784866365005982
0911_red,Active,Re-exposure,17,28.9817758023092,20.5277536007634,41.18337722658268,8.4540222015458
0911_red,Active,Re-exposure,18,30.4296150125516,20.5277536007634,48.23645881749069,9.9018614117882
0911_white,Active,Pre,3,21.5819594515796,21.8812224575512,-1.367670414905564,-0.29926300597159994
0911_white,Active,Pre,4,21.8812224575512,21.8812224575512,0.0,0.0
0911_white,Active,Pre,5,21.9714890884759,21.8812224575512,0.4125301093200482,0.09026663092469889
0911_white,Active,During,6,22.6586830212885,21.8812224575512,3.5530947379450395,0.7774605637373
0911_white,Active,During,7,21.5368800046969,21.8812224575512,-1.573689283230456,-0.3443424528542991
0911_white,Active,During,8,17.5374078930692,21.8812224575512,-19.851791063816687,-4.343814564481999
0911_white,Active,During,9,21.268388556976,21.8812224575512,-2.8007297204901445,-0.6128339005752004
0911_white,Active,During,10,22.6427468817507,21.8812224575512,3.4802645312748437,0.7615244241995001
0911_white,Active,Post,11,25.0048986227618,21.8812224575512,14.275601700363962,3.1236761652106004
0911_white,Active,Post,12,23.8488177533521,21.8812224575512,8.992163484549215,1.9675952958009013
0911_white,Active,Post,13,25.0600068949473,21.8812224575512,14.527453589774655,3.1787844373961
0911_white,Active,Withdrawal,14,25.4614100793153,21.8812224575512,16.361917752582325,3.5801876217641
0911_white,Active,Withdrawal,15,23.7184836507978,21.8812224575512,8.396519878223543,1.8372611932466008
0911_white,Active,Withdrawal,16,24.0724816172888,21.8812224575512,10.01433610022734,2.1912591597376014
0911_white,Active,Re-exposure,17,25.3467047869948,21.8812224575512,15.837699818492831,3.4654823294435992
0911_white,Active,Re-exposure,18,24.7112973259076,21.8812224575512,12.933806024076796,2.8300748683564017
6099_black,Active,Pre,3,26.8611784238925,30.980661745231,-13.296950708203099,-4.1194833213385
6099_black,Active,Pre,4,31.7855930304758,30.980661745231,2.5981733116746777,0.8049312852447983
6099_black,Active,Pre,5,30.980661745231,30.980661745231,0.0,0.0
6099_black,Active,During,6,43.1055449038392,30.980661745231,39.136940515722344,12.124883158608203
6099_black,Active,During,7,27.9413254641439,30.980661745231,-9.810430474600688,-3.039336281087099
6099_black,Active,During,8,32.6149758268302,30.980661745231,5.275271700259192,1.6343140815991966
6099_black,Active,During,9,28.5790111798414,30.980661745231,-7.752095759411258,-2.4016505653895983
6099_black,Active,During,10,42.4161555450103,30.980661745231,36.91171574648375,11.435493799779298
6099_black,Active,Post,11,38.5987732942207,30.980661745231,24.58989291977403,7.618111548989699
6099_black,Active,Post,12,40.8608529325935,30.980661745231,31.89147884771508,9.880191187362502
6099_black,Active,Post,13,42.8418761793852,30.980661745231,38.285865330104045,11.861214434154203
6099_black,Active,Withdrawal,14,46.2033266967197,30.980661745231,49.13602258296499,15.2226649514887
6099_black,Active,Withdrawal,15,45.5724284209091,30.980661745231,47.09959650208013,14.591766675678098
6099_black,Active,Withdrawal,16,46.8127258119853,30.980661745231,51.10305324317809,15.832064066754302
6099_black,Active,Re-exposure,17,46.3182132643208,30.980661745231,49.506855745102946,15.337551519089804
6099_black,Active,Re-exposure,18,37.3854946255793,30.980661745231,20.673647751679237,6.404832880348298
6099_orange,Active,Pre,3,35.1830019563577,30.5819541654678,15.044976413198807,4.601047790889901
6099_orange,Active,Pre,4,30.5819541654678,30.5819541654678,0.0,0.0
6099_orange,Active,Pre,5,24.5876009434429,30.5819541654678,-19.600948943915224,-5.994353222024898
6099_orange,Active,During,6,29.5127420143518,30.5819541654678,-3.496219192962233,-1.0692121511159982
6099_orange,Active,During,7,30.3926140038061,30.5819541654678,-0.6191238160820266,-0.18934016166170053
6099_orange,Active,During,8,30.1500121445497,30.5819541654678,-1.4124081756875957,-0.4319420209181004
6099_orange,Active,During,9,34.1439920555722,30.5819541654678,11.647515625821397,3.562037890104399
6099_orange,Active,During,10,33.8907214317739,30.5819541654678,10.819345449291976,3.3087672663060985
6099_orange,Active,Post,11,25.8805349728672,30.5819541654678,-15.373181083075776,-4.7014191926006
6099_orange,Active,Post,12,34.7317884245582,30.5819541654678,13.569552281182418,4.149834259090397
6099_orange,Active,Post,13,38.8035766262949,30.5819541654678,26.88390158569625,8.2216224608271
6099_orange,Active,Withdrawal,14,41.429097579172,30.5819541654678,35.469098393824886,10.847143413704202
6099_orange,Active,Withdrawal,15,40.9800715409799,30.5819541654678,34.00082715202462,10.3981173755121
6099_orange,Active,Withdrawal,16,41.103666202659,30.5819541654678,34.40496961136641,10.5217120371912
6099_orange,Active,Re-exposure,17,39.2841806457272,30.5819541654678,28.455429738645293,8.702226480259398
6099_orange,Active,Re-exposure,18,38.0406656498494,30.5819541654678,24.38925728560456,7.4587114843816025
6099_red,Passive,Pre,3,29.6721314007415,19.6713773876726,50.83911419103799,10.0007540130689
6099_red,Passive,Pre,4,19.6713773876726,19.6713773876726,0.0,0.0
6099_red,Passive,Pre,5,19.3266593278495,19.6713773876726,-1.7523839486660517,-0.3447180598230979
6099_red,Passive,During,6,24.5789570021384,19.6713773876726,24.94781894399127,4.907579614465799
6099_red,Passive,During,7,24.2037225196625,19.6713773876726,23.040303902817552,4.532345131989899
6099_red,Passive,During,8,25.2418146173334,19.6713773876726,28.317474266705943,5.570437229660801
6099_red,Passive,During,9,20.3851506286333,19.6713773876726,3.6284863377589405,0.7137732409607018
6099_red,Passive,During,10,35.8145413199914,19.6713773876726,82.0642277059622,16.1431639323188
6099_red,Passive,Post,11,37.4072372942067,19.6713773876726,90.16074246864166,17.735859906534102
6099_red,Passive,Post,12,37.1431489023312,19.6713773876726,88.8182417038452,17.4717715146586
6099_red,Passive,Post,13,37.3490017379144,19.6713773876726,89.86470038096967,17.6776243502418
6099_red,Passive,Withdrawal,14,43.0124993953268,19.6713773876726,118.65524994849272,23.3411220076542
6099_red,Passive,Withdrawal,15,43.49080685084,19.6713773876726,121.08673934594052,23.819429463167403
6099_red,Passive,Withdrawal,16,31.3454445202225,19.6713773876726,59.34544847818156,11.6740671325499
6099_red,Passive,Re-exposure,17,26.2591555117305,19.6713773876726,33.48915530534351,6.587778124057902
6099_red,Passive,Re-exposure,18,30.5086036884063,19.6713773876726,55.091344582332255,10.8372263007337
6099_white,Passive,Pre,3,39.7815509619803,39.7815509619803,0.0,0.0
